CMDLINE python3 scripts/run.py
MEM 632.687500 1725625972.6026
MEM 632.687500 1725625972.7036
MEM 632.687500 1725625972.8046
MEM 632.812500 1725625972.9056
MEM 632.812500 1725625973.0066
MEM 632.812500 1725625973.1076
MEM 632.812500 1725625973.2086
MEM 632.812500 1725625973.3096
MEM 632.812500 1725625973.4106
MEM 632.937500 1725625973.5121
MEM 632.937500 1725625973.6128
MEM 632.937500 1725625973.7156
MEM 632.937500 1725625973.8167
MEM 632.937500 1725625973.9176
MEM 633.187500 1725625974.0186
MEM 633.187500 1725625974.1196
MEM 633.437500 1725625974.2206
MEM 634.187500 1725625974.3216
MEM 634.437500 1725625974.4226
MEM 634.437500 1725625974.5236
MEM 634.437500 1725625974.6246
MEM 634.437500 1725625974.7256
MEM 634.437500 1725625974.8266
MEM 634.437500 1725625974.9276
MEM 634.437500 1725625975.0296
MEM 634.437500 1725625975.1306
MEM 634.437500 1725625975.2316
MEM 634.437500 1725625975.3326
MEM 634.437500 1725625975.4336
MEM 634.437500 1725625975.5346
MEM 634.437500 1725625975.6356
MEM 634.437500 1725625975.7366
MEM 634.437500 1725625975.8376
MEM 634.437500 1725625975.9387
MEM 634.437500 1725625976.0401
MEM 634.437500 1725625976.1408
MEM 634.437500 1725625976.2446
MEM 634.437500 1725625976.3481
MEM 634.437500 1725625976.4489
MEM 634.437500 1725625976.5506
MEM 634.437500 1725625976.6546
MEM 634.437500 1725625976.7576
MEM 634.437500 1725625976.8607
MEM 634.437500 1725625976.9618
MEM 634.437500 1725625977.0641
MEM 634.437500 1725625977.1649
MEM 634.437500 1725625977.2651
MEM 634.437500 1725625977.3666
MEM 683.996094 1725625977.4676
MEM 749.621094 1725625977.5686
MEM 804.621094 1725625977.6696
MEM 860.246094 1725625977.7715
MEM 983.636719 1725625977.8717
MEM 1027.261719 1725625977.9727
MEM 1076.636719 1725625978.0737
MEM 1124.261719 1725625978.1761
MEM 1177.011719 1725625978.2799
MEM 1222.761719 1725625978.3820
MEM 1322.804688 1725625978.4860
MEM 1322.804688 1725625978.5887
MEM 1322.804688 1725625978.6896
MEM 1358.429688 1725625978.7905
MEM 1402.054688 1725625978.8923
MEM 1445.179688 1725625978.9945
MEM 1483.804688 1725625979.0967
MEM 1522.679688 1725625979.1973
MEM 1563.179688 1725625979.2993
MEM 1605.304688 1725625979.4037
MEM 1643.929688 1725625979.5050
MEM 1680.929688 1725625979.6053
MEM 1718.304688 1725625979.7095
MEM 1755.179688 1725625979.8105
MEM 1792.679688 1725625979.9130
MEM 2140.234375 1725625980.0156
MEM 2140.234375 1725625980.1165
MEM 2014.613281 1725625980.2180
MEM 2052.113281 1725625980.3198
MEM 2088.863281 1725625980.4223
MEM 2123.363281 1725625980.5241
MEM 2157.488281 1725625980.6253
MEM 2190.113281 1725625980.7265
MEM 2222.363281 1725625980.8285
MEM 2244.863281 1725625980.9294
MEM 2244.863281 1725625981.0318
MEM 2244.863281 1725625981.1334
MEM 2260.113281 1725625981.2343
MEM 2291.488281 1725625981.3387
MEM 2320.738281 1725625981.4397
MEM 2347.363281 1725625981.5423
MEM 2374.363281 1725625981.6435
MEM 2401.238281 1725625981.7473
MEM 2427.113281 1725625981.8493
MEM 2452.988281 1725625981.9534
MEM 2475.988281 1725625982.0547
MEM 2500.363281 1725625982.1553
MEM 2525.613281 1725625982.2605
MEM 2549.488281 1725625982.3635
MEM 2569.238281 1725625982.4678
MEM 2591.488281 1725625982.5690
MEM 2613.988281 1725625982.6733
MEM 2632.988281 1725625982.7745
MEM 2653.488281 1725625982.8773
MEM 2674.488281 1725625982.9845
MEM 2691.113281 1725625983.0875
MEM 2709.988281 1725625983.1887
MEM 2727.738281 1725625983.2893
MEM 2745.613281 1725625983.3908
MEM 2762.738281 1725625983.4912
MEM 2779.363281 1725625983.5923
MEM 2795.988281 1725625983.6933
MEM 2810.363281 1725625983.7943
MEM 2825.738281 1725625983.8955
MEM 2840.738281 1725625983.9965
MEM 2854.113281 1725625984.0993
MEM 2868.363281 1725625984.2013
MEM 2881.363281 1725625984.3047
MEM 2894.988281 1725625984.4055
MEM 2907.363281 1725625984.5073
MEM 2920.738281 1725625984.6113
MEM 2933.238281 1725625984.7123
MEM 2944.863281 1725625984.8133
MEM 2955.988281 1725625984.9143
MEM 2966.988281 1725625985.0153
MEM 2977.363281 1725625985.1163
MEM 2987.363281 1725625985.2173
MEM 2997.363281 1725625985.3183
MEM 3004.863281 1725625985.4195
MEM 3004.863281 1725625985.5227
MEM 3004.863281 1725625985.6256
MEM 3005.113281 1725625985.7285
MEM 3378.468750 1725625985.8324
MEM 3648.468750 1725625985.9333
MEM 3648.468750 1725625986.0343
MEM 3648.468750 1725625986.1352
MEM 3332.347656 1725625986.2363
MEM 3342.097656 1725625986.3372
MEM 3350.972656 1725625986.4382
MEM 3359.722656 1725625986.5392
MEM 3367.722656 1725625986.6402
MEM 3375.347656 1725625986.7412
MEM 3382.472656 1725625986.8423
MEM 3388.722656 1725625986.9433
MEM 3394.972656 1725625987.0442
MEM 3400.347656 1725625987.1453
MEM 3405.722656 1725625987.2463
MEM 3410.472656 1725625987.3473
MEM 3414.972656 1725625987.4483
MEM 3418.847656 1725625987.5492
MEM 3422.472656 1725625987.6502
